Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC
CatBoost,0.8019872249822569,0.6655052264808362,0.5106951871657754,0.5779122541603631,0.8455049213361234
LightGBM,0.7955997161107168,0.6747967479674797,0.44385026737967914,0.535483870967742,0.8443540261954585
XGBoost,0.8019872249822569,0.6588628762541806,0.5267379679144385,0.5854383358098069,0.8443152755173216
RandomForest,0.7665010645848119,0.5435203094777563,0.7513368983957219,0.6307519640852974,0.84181198170968
